Genetic Tic Tac Toe Experiment
Experiment Time: 23/06/2016 11:29:15
Expirement Parameters:,
Board Size:,10,
Required Streak:,5,
Population Size:,100,
Max Generations:,50,
Select Maximal Index Method:,Random,
Initial Individual Tree Depth:,3,
Maximum Individual Tree Depth:,6,
Crossover Probability:,0.8,
Mutation Probability:,0.2,
,
Function Set:,
If >=,Plus,
Terminal Set:,
RowStreak,ColumnStreak,DiagMainStreak,DiagSecStreak,WinOrBlock,
,
Generation,Worst Individual Name,Worst Individual Fitness,Best Individual Name,Best Individual Fitness,Average Fitness,Best Individual Tree,
1,Marirzaurus,0.0,Phoslamares,3.0,0.415,([F: If >=](F: If >=(T: RowStreak e)(T: ColumnStreak f)(T: ColumnStreak e)(T: ColumnStreak e))(F: Plus(T: RowStreak e)(T: DiagMainStreak f))(F: If >=(T: DiagMainStreak f)(T: WinOrBlock e)(T: WinOrBlock e)(T: RowStreak e))(F: Plus(T: DiagSecStreak f)(T: ColumnStreak f))),
2,Merairirar,0.0,Drakurakcred,2.6,0.2640000000000001,([F: Plus](F: Plus(T: DiagMainStreak f)(T: ColumnStreak e))(F: Plus(T: DiagSecStreak f)(T: WinOrBlock f))),
3,Phoslallodi,0.0,Azakaklor,1.7,0.30200000000000005,([F: Plus](F: If >=(T: RowStreak f)(T: DiagSecStreak e)(T: DiagSecStreak f)(F: Plus(T: RowStreak f)(T: DiagMainStreak e)))(F: Plus(T: WinOrBlock e)(T: WinOrBlock f))),
4,Mjolmslark,0.0,Azakaklor,3.0,0.49299999999999977,([F: Plus](T: DiagSecStreak e)(F: Plus(T: WinOrBlock e)(T: WinOrBlock f))),
5,Krcrrakcr,0.0,Breaakkakl,2.6,0.47099999999999953,([F: Plus](F: Plus(T: RowStreak f)(T: DiagMainStreak e))(F: If >=(F: Plus(T: ColumnStreak e)(T: WinOrBlock f))(F: If >=(T: DiagSecStreak e)(T: WinOrBlock e)(T: DiagSecStreak f)(T: WinOrBlock f))(F: If >=(T: DiagSecStreak f)(T: DiagSecStreak f)(T: WinOrBlock f)(T: RowStreak e))(F: If >=(T: RowStreak e)(T: RowStreak e)(T: DiagSecStreak e)(T: DiagSecStreak f)))),
6,Reicukmir,0.0,Drakukukak,3.0,0.627,([F: Plus](F: Plus(T: DiagMainStreak f)(T: DiagSecStreak e))(F: Plus(T: RowStreak f)(T: WinOrBlock f))),
7,Reiokkakl,0.0,Drakukkkak,2.7,0.5729999999999994,([F: Plus](F: Plus(F: Plus(T: WinOrBlock e)(T: WinOrBlock f))(T: DiagSecStreak e))(F: Plus(T: WinOrBlock e)(T: WinOrBlock f))),
8,Azakkuulo,0.0,Breaaaakka,3.3,0.45899999999999896,([F: Plus](F: Plus(T: RowStreak f)(T: DiagMainStreak e))(F: If >=(F: Plus(T: ColumnStreak e)(T: WinOrBlock f))(T: DiagSecStreak f)(F: If >=(T: DiagSecStreak f)(T: DiagSecStreak f)(T: WinOrBlock f)(T: RowStreak e))(F: If >=(T: RowStreak e)(T: RowStreak e)(T: DiagMainStreak f)(T: WinOrBlock f)))),
9,Breaaaaakk,0.0,Breaauakrr,4.0,0.6879999999999995,([F: Plus](F: Plus(T: RowStreak f)(T: DiagMainStreak e))(F: If >=(F: Plus(T: DiagSecStreak e)(T: WinOrBlock f))(T: DiagSecStreak f)(F: If >=(T: DiagSecStreak f)(T: DiagSecStreak f)(T: WinOrBlock f)(T: RowStreak e))(F: If >=(T: RowStreak e)(T: RowStreak e)(T: DiagMainStreak f)(T: WinOrBlock f)))),
10,Breaauaako,0.0,Breaaaoaam,2.6,0.6129999999999991,([F: Plus](F: Plus(T: RowStreak f)(T: DiagMainStreak e))(F: If >=(F: Plus(T: DiagSecStreak e)(T: WinOrBlock f))(T: DiagSecStreak f)(F: If >=(F: Plus(T: ColumnStreak e)(T: WinOrBlock f))(T: DiagSecStreak f)(F: If >=(T: DiagSecStreak f)(T: DiagSecStreak f)(T: WinOrBlock f)(T: RowStreak e))(F: If >=(T: RowStreak e)(T: RowStreak e)(T: DiagMainStreak f)(T: RowStreak f)))(F: If >=(T: RowStreak e)(T: RowStreak e)(T: DiagMainStreak f)(T: WinOrBlock f)))),
