Genetic Tic Tac Toe Experiment
Experiment Time: 26/06/2016 15:10:20
Experiment Parameters:,
Board Size:,10,
Required Streak:,5,
Population Size:,200,
Max Generations:,50,
Select Maximal Index Method:,Random,
Initial Individual Tree Depth:,3,
Maximum Individual Tree Depth:,7,
Crossover Probability:,0.8,
Mutation Probability:,0.2,
,
Function Set:,
If >=,Plus,
Terminal Set:,
CountNeightbors,CountRow,CountColumn,DiagMainStreak,CountDiagSec,RowStreak,ColumnStreak,DiagMainStreak,DiagSecStreak,RandVal,IsRandIndex,WinOrBlock,
,
Generation,Worst Individual Name,Worst Individual Fitness,Best Individual Name,Best Individual Fitness,Average Fitness,Best Individual Tree,
1,Zedarktron,54.0,Mroklorider,503.0,289.5009999999998,([F: Plus](F: Plus(T: RowStreak f)(T: DiagSecStreak f))(F: If >=(T: CountDiagSec f)(T: DiagMainStreak f)(T: RandVal 0)(T: WinOrBlock e))),
2,Brecrirur,96.8,Jarzerure,498.20000000000005,315.4869999999999,([F: Plus](F: If >=(T: DiagMainStreak e)(T: ColumnStreak f)(T: ColumnStreak e)(T: CountColumn f))(F: Plus(T: WinOrBlock e)(T: DiagMainStreak f))),
3,Cruaerark,29.0,Azakalamara,524.2,317.84850000000023,([F: Plus](F: Plus(T: DiagMainStreak f)(F: Plus(F: Plus(T: WinOrBlock f)(T: RowStreak f))(T: RowStreak f)))(F: Plus(T: DiagMainStreak e)(T: WinOrBlock e))),
4,Crusaklzoc,59.8,Azakalamara,506.4,319.8574999999999,([F: Plus](F: Plus(T: DiagMainStreak f)(F: Plus(F: Plus(T: WinOrBlock f)(T: RowStreak f))(T: RowStreak f)))(F: Plus(T: DiagMainStreak e)(T: WinOrBlock e))),
5,Crusakaomm,70.7,Azakazzzer,494.0,301.1459999999999,([F: Plus](F: Plus(T: DiagMainStreak f)(F: Plus(F: Plus(T: WinOrBlock f)(T: RowStreak f))(T: RowStreak f)))(F: Plus(T: IsRandIndex 75)(T: WinOrBlock e))),
6,Azakaskaom,16.2,Azakazzzer,486.1,296.31500000000017,([F: Plus](F: Plus(T: DiagMainStreak f)(F: Plus(F: Plus(T: WinOrBlock f)(T: RowStreak f))(T: RowStreak f)))(F: Plus(T: IsRandIndex 75)(T: WinOrBlock e))),
7,Azakaoaoal,38.1,Azakaazzze,501.1,304.87100000000004,([F: Plus](F: Plus(F: Plus(T: DiagMainStreak f)(F: Plus(F: Plus(T: WinOrBlock f)(T: RowStreak f))(T: RowStreak f)))(F: Plus(F: Plus(T: WinOrBlock f)(F: If >=(T: DiagSecStreak e)(T: CountNeightbors e)(F: Plus(T: IsRandIndex 74)(T: ColumnStreak f))(T: WinOrBlock f)))(T: RowStreak f)))(F: Plus(T: IsRandIndex 75)(T: WinOrBlock e))),
8,Creoaaazzz,40.7,Azakaaazzz,435.8,292.7884999999999,([F: Plus](F: Plus(T: DiagMainStreak f)(F: Plus(F: Plus(T: WinOrBlock f)(T: RowStreak f))(T: WinOrBlock e)))(F: Plus(T: IsRandIndex 75)(T: DiagSecStreak e))),
9,Azakaaaaao,55.4,Azakaaazzz,493.09999999999997,292.7930000000001,([F: Plus](F: Plus(F: Plus(T: DiagMainStreak f)(F: Plus(F: Plus(T: WinOrBlock f)(T: RowStreak f))(T: RowStreak f)))(F: Plus(F: Plus(T: WinOrBlock f)(F: If >=(T: DiagSecStreak e)(F: Plus(T: WinOrBlock f)(T: RowStreak f))(F: Plus(T: IsRandIndex 74)(T: ColumnStreak f))(T: WinOrBlock f)))(T: WinOrBlock f)))(F: Plus(T: IsRandIndex 75)(T: WinOrBlock e))),
10,Azakaaaazz,77.2,Azakaaazzz,476.90000000000003,310.5544999999999,([F: Plus](F: Plus(F: Plus(T: DiagMainStreak f)(F: Plus(F: Plus(T: WinOrBlock f)(T: RowStreak f))(T: RowStreak f)))(F: Plus(F: Plus(T: WinOrBlock f)(F: If >=(T: DiagSecStreak e)(F: Plus(T: WinOrBlock f)(T: RowStreak f))(F: Plus(T: IsRandIndex 74)(T: ColumnStreak f))(T: WinOrBlock f)))(T: WinOrBlock f)))(F: Plus(T: IsRandIndex 75)(T: WinOrBlock e))),
