Genetic Tic Tac Toe Experiment
Experiment Time: 27/06/2016 14:23:03
Experiment Parameters:,
Board Size:,10,
Required Streak:,5,
Population Size:,100,
Max Generations:,50,
Select Maximal Index Method:,Random,
Initial Individual Tree Depth:,3,
Maximum Individual Tree Depth:,6,
Crossover Probability:,0.8,
Mutation Probability:,0.2,
,
Function Set:,
If >=,Plus,
Terminal Set:,
RowStreak,ColumnStreak,DiagMainStreak,DiagSecStreak,WinOrBlock,
,
Generation,Worst Individual Name,Worst Individual Fitness,Best Individual Name,Best Individual Fitness,Average Fitness,Best Individual Tree,
1,Creoairark,0.0,Marmurcred,2.0,0.413,([F: If >=](F: Plus(T: DiagMainStreak f)(T: ColumnStreak f))(F: Plus(T: RowStreak e)(T: WinOrBlock e))(F: Plus(T: DiagMainStreak f)(T: WinOrBlock e))(F: If >=(T: RowStreak f)(T: DiagSecStreak f)(T: DiagSecStreak e)(T: RowStreak e))),
2,Zedrairme,0.0,Phouraairar,2.7,0.3719999999999994,([F: Plus](F: Plus(T: RowStreak e)(T: WinOrBlock e))(F: Plus(T: RowStreak f)(T: ColumnStreak e))),
3,Cruaccracr,0.0,Azurmccracr,2.0,0.36199999999999954,([F: Plus](F: Plus(T: WinOrBlock e)(T: RowStreak e))(F: Plus(T: DiagMainStreak e)(T: DiagSecStreak f))),
4,Cryzomzerm,0.0,Phouramcrac,2.7,0.6270000000000003,([F: Plus](T: RowStreak e)(F: Plus(F: Plus(T: WinOrBlock e)(T: WinOrBlock f))(F: If >=(T: ColumnStreak f)(T: WinOrBlock e)(T: RowStreak e)(T: DiagSecStreak e)))),
5,Phoucratr,0.0,Phourmmmir,3.0,0.5050000000000001,([F: Plus](F: Plus(T: DiagMainStreak e)(T: DiagSecStreak e))(F: Plus(F: Plus(T: DiagMainStreak f)(T: WinOrBlock f))(F: If >=(T: ColumnStreak f)(F: Plus(T: RowStreak e)(T: ColumnStreak f))(T: ColumnStreak f)(T: RowStreak f)))),
6,Zedmrrrccra,0.0,Phouramccra,3.0,0.6240000000000002,([F: Plus](F: Plus(T: RowStreak e)(T: WinOrBlock e))(F: Plus(F: Plus(T: WinOrBlock f)(T: DiagMainStreak e))(F: If >=(F: If >=(F: If >=(T: WinOrBlock f)(T: DiagMainStreak f)(T: WinOrBlock e)(T: DiagSecStreak e))(F: If >=(T: DiagMainStreak e)(T: ColumnStreak e)(T: DiagSecStreak e)(T: DiagSecStreak e))(F: If >=(T: DiagSecStreak f)(T: DiagSecStreak e)(T: ColumnStreak f)(T: WinOrBlock e))(F: Plus(T: RowStreak e)(T: WinOrBlock e)))(F: Plus(T: DiagSecStreak e)(T: RowStreak e))(F: If >=(T: RowStreak e)(T: ColumnStreak e)(T: ColumnStreak f)(T: RowStreak e))(F: If >=(T: DiagMainStreak e)(T: DiagSecStreak e)(T: DiagSecStreak f)(T: RowStreak e))))),
7,Zedmrramccr,0.0,Krmrrrraai,4.0,0.6670000000000003,([F: Plus](F: Plus(T: RowStreak f)(T: DiagSecStreak f))(T: DiagMainStreak e)),
8,Krmakrrrrcc,0.0,Phourrrrraz,3.0,0.5839999999999997,([F: Plus](F: Plus(T: RowStreak e)(T: WinOrBlock e))(F: Plus(F: Plus(T: WinOrBlock f)(T: DiagMainStreak e))(F: If >=(F: If >=(F: If >=(T: WinOrBlock f)(T: DiagMainStreak f)(T: WinOrBlock e)(T: DiagSecStreak e))(F: If >=(T: DiagMainStreak e)(T: ColumnStreak e)(T: DiagSecStreak e)(T: DiagSecStreak e))(F: If >=(T: WinOrBlock e)(T: DiagSecStreak e)(T: DiagMainStreak f)(T: WinOrBlock e))(F: Plus(T: RowStreak e)(T: WinOrBlock e)))(F: Plus(T: DiagSecStreak e)(T: RowStreak e))(F: If >=(T: RowStreak e)(T: ColumnStreak e)(T: ColumnStreak f)(T: RowStreak e))(F: If >=(T: DiagMainStreak e)(T: DiagSecStreak e)(T: DiagSecStreak f)(T: RowStreak e))))),
9,Phourrrrra,0.0,Phourrrrraz,4.0,0.6960000000000001,([F: Plus](F: Plus(T: RowStreak e)(T: WinOrBlock e))(F: Plus(F: Plus(T: WinOrBlock f)(T: DiagMainStreak e))(F: If >=(F: If >=(F: If >=(T: WinOrBlock f)(T: DiagMainStreak f)(T: WinOrBlock e)(T: DiagSecStreak e))(F: If >=(T: DiagMainStreak e)(T: ColumnStreak e)(T: DiagSecStreak e)(T: DiagSecStreak e))(F: If >=(T: WinOrBlock e)(T: DiagSecStreak e)(T: DiagMainStreak f)(T: WinOrBlock e))(F: Plus(T: RowStreak e)(T: WinOrBlock e)))(F: Plus(T: DiagSecStreak e)(T: RowStreak e))(F: If >=(T: RowStreak e)(T: ColumnStreak e)(T: ColumnStreak f)(T: RowStreak e))(F: If >=(T: DiagMainStreak e)(T: DiagSecStreak e)(T: DiagSecStreak f)(T: RowStreak e))))),
10,Phourrrrrrr,0.0,Phourrrrra,3.0,0.7429999999999999,([F: Plus](T: WinOrBlock e)(F: Plus(F: Plus(T: DiagSecStreak e)(F: Plus(F: Plus(T: WinOrBlock f)(T: DiagSecStreak f))(F: If >=(T: DiagSecStreak e)(T: ColumnStreak f)(T: ColumnStreak f)(T: DiagMainStreak e))))(F: Plus(T: DiagSecStreak f)(T: ColumnStreak f)))),
