Genetic Tic Tac Toe Experiment
Experiment Time: 23/06/2016 11:42:41
Expirement Parameters:,
Board Size:,10,
Required Streak:,5,
Population Size:,100,
Max Generations:,50,
Select Maximal Index Method:,First,
Initial Individual Tree Depth:,3,
Maximum Individual Tree Depth:,7,
Crossover Probability:,0.8,
Mutation Probability:,0.2,
,
Function Set:,
If >=,Plus,
Terminal Set:,
CountNeightbors,RowStreak,ColumnStreak,DiagMainStreak,DiagSecStreak,WinOrBlock,
,
Generation,Worst Individual Name,Worst Individual Fitness,Best Individual Name,Best Individual Fitness,Average Fitness,Best Individual Tree,
1,Marsorure,0.0,Bremaraczur,3.7,0.3339999999999999,([F: If >=](F: Plus(T: DiagMainStreak f)(T: RowStreak e))(F: Plus(T: ColumnStreak f)(T: WinOrBlock f))(F: Plus(T: DiagMainStreak e)(T: DiagMainStreak e))(F: Plus(T: ColumnStreak e)(T: RowStreak f))),
2,Azakziricre,0.0,Bremaraczur,2.7,0.8469999999999998,([F: If >=](F: Plus(T: DiagMainStreak f)(T: RowStreak e))(F: Plus(T: ColumnStreak f)(T: WinOrBlock f))(F: Plus(T: DiagMainStreak e)(T: DiagMainStreak e))(F: Plus(T: ColumnStreak e)(T: RowStreak f))),
3,Krmies,0.0,Bremaraczur,2.7,1.3450000000000015,([F: If >=](F: Plus(T: DiagMainStreak f)(T: RowStreak e))(F: Plus(T: ColumnStreak f)(T: WinOrBlock f))(F: Plus(T: DiagMainStreak e)(T: DiagMainStreak e))(F: Plus(T: ColumnStreak e)(T: RowStreak f))),
4,Bremacres,0.0,Bremaaaracz,3.0,1.4999999999999993,([F: If >=](F: Plus(T: DiagMainStreak f)(T: RowStreak e))(F: Plus(T: ColumnStreak e)(T: WinOrBlock f))(F: Plus(T: DiagMainStreak e)(T: WinOrBlock f))(F: Plus(T: DiagMainStreak f)(T: RowStreak e))),
5,Bremaaraczu,0.0,Bremaaaracz,3.0,1.6709999999999996,([F: If >=](F: Plus(T: DiagMainStreak f)(T: RowStreak e))(F: Plus(T: ColumnStreak e)(T: WinOrBlock f))(F: Plus(T: DiagMainStreak e)(T: WinOrBlock f))(F: Plus(T: DiagMainStreak f)(T: RowStreak e))),
6,Bremaimair,0.0,Bremaaaaara,3.3,1.7600000000000007,([F: If >=](F: If >=(F: If >=(T: RowStreak e)(T: DiagSecStreak f)(T: WinOrBlock e)(T: CountNeightbors e))(F: Plus(T: DiagMainStreak e)(T: RowStreak f))(F: Plus(T: RowStreak e)(T: DiagSecStreak f))(F: Plus(T: RowStreak f)(T: DiagSecStreak f)))(F: Plus(T: ColumnStreak f)(T: WinOrBlock f))(F: Plus(T: DiagMainStreak e)(T: DiagMainStreak e))(F: Plus(T: ColumnStreak e)(T: WinOrBlock f))),
7,Bremaaaracz,0.0,Bremaaaaara,3.3,1.9849999999999985,([F: If >=](F: If >=(F: If >=(T: RowStreak e)(T: DiagSecStreak f)(T: WinOrBlock e)(T: CountNeightbors e))(F: Plus(T: DiagMainStreak e)(T: RowStreak f))(F: Plus(T: RowStreak e)(T: DiagSecStreak f))(F: Plus(T: RowStreak f)(T: DiagSecStreak f)))(F: Plus(T: ColumnStreak f)(T: WinOrBlock f))(F: Plus(T: DiagMainStreak e)(T: DiagMainStreak e))(F: Plus(T: ColumnStreak e)(T: WinOrBlock f))),
8,Bremaaaaara,0.0,Bremaaaama,4.3,2.4689999999999976,([F: If >=](F: Plus(F: Plus(T: DiagMainStreak e)(T: WinOrBlock f))(T: RowStreak e))(F: Plus(T: ColumnStreak e)(T: WinOrBlock f))(F: Plus(T: DiagMainStreak e)(T: WinOrBlock f))(F: If >=(F: Plus(T: WinOrBlock f)(T: CountNeightbors e))(F: Plus(T: ColumnStreak e)(T: RowStreak f))(F: If >=(T: WinOrBlock f)(T: RowStreak f)(T: RowStreak f)(T: DiagSecStreak f))(F: If >=(T: CountNeightbors e)(T: RowStreak f)(T: DiagSecStreak e)(T: DiagSecStreak e)))),
9,Bremaaaaaa,0.0,Bremaaaama,4.3,2.5659999999999985,([F: If >=](F: Plus(F: Plus(T: DiagMainStreak e)(T: WinOrBlock f))(T: RowStreak e))(F: Plus(T: ColumnStreak e)(T: WinOrBlock f))(F: Plus(T: DiagMainStreak e)(T: WinOrBlock f))(F: If >=(F: Plus(T: WinOrBlock f)(T: CountNeightbors e))(F: Plus(T: ColumnStreak e)(T: RowStreak f))(F: If >=(T: WinOrBlock f)(T: RowStreak f)(T: RowStreak f)(T: DiagSecStreak f))(F: If >=(T: CountNeightbors e)(T: RowStreak f)(T: DiagSecStreak e)(T: DiagSecStreak e)))),
10,Bremaaaaaar,0.0,Bremaaaama,4.3,2.857000000000001,([F: If >=](F: Plus(F: Plus(T: DiagMainStreak e)(T: WinOrBlock f))(T: RowStreak e))(F: Plus(T: ColumnStreak e)(T: WinOrBlock f))(F: Plus(T: DiagMainStreak e)(T: WinOrBlock f))(F: If >=(F: Plus(T: WinOrBlock f)(T: CountNeightbors e))(F: Plus(T: ColumnStreak e)(T: RowStreak f))(F: If >=(T: WinOrBlock f)(T: RowStreak f)(T: RowStreak f)(T: DiagSecStreak f))(F: If >=(T: CountNeightbors e)(T: RowStreak f)(T: DiagSecStreak e)(T: DiagSecStreak e)))),
