Genetic Tic Tac Toe Experiment
Experiment Time: 23/06/2016 11:35:26
Expirement Parameters:,
Board Size:,10,
Required Streak:,5,
Population Size:,100,
Max Generations:,50,
Select Maximal Index Method:,Random,
Initial Individual Tree Depth:,4,
Maximum Individual Tree Depth:,8,
Crossover Probability:,0.8,
Mutation Probability:,0.2,
,
Function Set:,
If >=,If <=,Plus,Minus,Multi,
Terminal Set:,
CountNeightbors,RowStreak,ColumnStreak,DiagMainStreak,DiagSecStreak,WinOrBlock,
,
Generation,Worst Individual Name,Worst Individual Fitness,Best Individual Name,Best Individual Fitness,Average Fitness,Best Individual Tree,
1,Draklorier,0.0,Mjolzoirmed,4.0,0.3999999999999997,([F: Plus](F: Minus(F: Minus(T: RowStreak e)(T: CountNeightbors e))(F: If <=(T: RowStreak f)(T: DiagSecStreak f)(T: WinOrBlock e)(T: CountNeightbors e)))(F: Multi(F: Minus(T: RowStreak f)(T: ColumnStreak f))(F: If <=(T: CountNeightbors e)(T: DiagMainStreak e)(T: CountNeightbors f)(T: DiagMainStreak f)))),
2,Crysalaracar,0.0,Mjolzirar,2.0,0.3669999999999996,([F: Plus](F: Minus(F: Minus(T: RowStreak e)(T: CountNeightbors e))(T: RowStreak e))(F: Multi(F: Minus(T: RowStreak f)(T: ColumnStreak f))(F: If <=(T: CountNeightbors e)(T: DiagMainStreak e)(T: CountNeightbors f)(T: DiagMainStreak f)))),
3,Madszerdi,0.0,Mjolzirar,2.3,0.3929999999999994,([F: Plus](F: Minus(F: Minus(T: RowStreak e)(T: CountNeightbors e))(T: RowStreak e))(F: Multi(F: Minus(T: RowStreak f)(T: ColumnStreak f))(F: If <=(T: CountNeightbors e)(T: DiagMainStreak e)(T: CountNeightbors f)(T: DiagMainStreak f)))),
4,Reicrelori,0.0,Mjolzzclom,2.7,0.555,([F: Plus](F: Minus(F: Minus(T: RowStreak e)(F: Multi(T: RowStreak f)(T: DiagMainStreak f)))(F: If <=(T: DiagMainStreak f)(T: DiagSecStreak f)(T: WinOrBlock e)(T: CountNeightbors e)))(F: Multi(F: Minus(T: RowStreak f)(T: ColumnStreak f))(F: If <=(T: CountNeightbors e)(T: DiagMainStreak e)(T: CountNeightbors f)(T: DiagMainStreak f)))),
5,Zedlrlzir,0.0,Mjolzclome,2.7,0.5680000000000001,([F: Plus](F: Minus(F: Minus(T: RowStreak e)(F: Multi(T: WinOrBlock f)(T: DiagMainStreak f)))(F: If <=(T: RowStreak f)(T: DiagSecStreak f)(T: WinOrBlock e)(T: CountNeightbors e)))(F: Multi(F: Minus(T: RowStreak f)(T: ColumnStreak f))(F: If <=(T: CountNeightbors e)(T: DiagMainStreak e)(T: CountNeightbors f)(T: DiagMainStreak f)))),
6,Mjolzlllamar,0.0,Mjolzlzllozo,4.0,0.7499999999999993,([F: Plus](F: Minus(F: Minus(T: RowStreak e)(F: Minus(T: ColumnStreak f)(T: ColumnStreak f)))(F: If <=(F: Multi(F: Minus(T: RowStreak f)(T: ColumnStreak f))(F: If <=(T: CountNeightbors e)(T: DiagMainStreak e)(T: CountNeightbors f)(T: DiagMainStreak f)))(T: DiagSecStreak f)(T: WinOrBlock e)(T: CountNeightbors e)))(F: Multi(F: Minus(T: RowStreak f)(T: ColumnStreak f))(F: If <=(T: CountNeightbors e)(T: DiagMainStreak e)(T: CountNeightbors f)(F: Plus(T: RowStreak f)(T: ColumnStreak f))))),
7,Mjolzlzlcc,0.0,Mjolzllamar,3.0,0.5259999999999996,([F: Plus](F: Minus(F: Minus(T: RowStreak e)(F: Multi(T: WinOrBlock f)(T: DiagMainStreak f)))(F: If <=(F: Minus(T: ColumnStreak f)(T: ColumnStreak f))(T: DiagSecStreak f)(T: WinOrBlock e)(T: CountNeightbors e)))(F: Multi(F: Minus(T: RowStreak f)(T: ColumnStreak f))(F: If <=(T: CountNeightbors e)(T: ColumnStreak f)(F: Plus(T: WinOrBlock f)(T: DiagMainStreak e))(T: DiagMainStreak f)))),
8,Mjolzlczlzi,0.0,Mjolzzclom,3.3,0.774999999999999,([F: Plus](F: Minus(F: Minus(T: RowStreak e)(F: Multi(T: WinOrBlock f)(T: DiagMainStreak f)))(F: If <=(F: Minus(T: RowStreak f)(T: ColumnStreak f))(T: DiagSecStreak f)(T: WinOrBlock e)(T: CountNeightbors e)))(F: Multi(F: Minus(T: RowStreak f)(T: ColumnStreak f))(F: If <=(T: CountNeightbors e)(T: ColumnStreak f)(F: Plus(T: WinOrBlock f)(T: DiagMainStreak e))(T: DiagMainStreak f)))),
9,Mjolzzzclo,0.0,Reiclzzclo,3.0,0.7789999999999992,([F: Plus](F: If >=(F: Minus(T: RowStreak f)(T: CountNeightbors e))(F: Minus(T: RowStreak f)(T: ColumnStreak f))(F: Plus(T: WinOrBlock f)(T: DiagMainStreak e))(F: Multi(F: If <=(F: Multi(F: Minus(T: RowStreak f)(T: ColumnStreak f))(F: If <=(T: CountNeightbors e)(T: DiagMainStreak e)(T: CountNeightbors f)(T: DiagMainStreak f)))(T: DiagSecStreak f)(T: RowStreak f)(T: CountNeightbors e))(T: RowStreak e)))(F: Plus(T: DiagMainStreak e)(F: Plus(T: WinOrBlock e)(T: RowStreak f)))),
10,Mjolzizzcl,0.0,Mjolzzzzzc,3.0,0.7419999999999993,([F: Plus](F: Minus(F: Minus(T: RowStreak e)(F: Multi(T: WinOrBlock f)(T: DiagMainStreak f)))(F: If <=(F: Minus(T: ColumnStreak f)(T: CountNeightbors f))(T: DiagSecStreak f)(T: WinOrBlock e)(T: RowStreak e)))(F: Multi(F: Minus(T: RowStreak f)(T: ColumnStreak f))(F: If <=(T: CountNeightbors e)(T: ColumnStreak f)(F: Plus(T: WinOrBlock f)(T: CountNeightbors f))(T: DiagMainStreak f)))),
