Genetic Tic Tac Toe Experiment
Experiment Time: 23/06/2016 13:54:56
Experiment Parameters:,
Board Size:,10,
Required Streak:,5,
Population Size:,100,
Max Generations:,20,
Select Maximal Index Method:,Random,
Initial Individual Tree Depth:,3,
Maximum Individual Tree Depth:,6,
Crossover Probability:,0.8,
Mutation Probability:,0.2,
,
Function Set:,
If >=,Plus,
Terminal Set:,
RowStreak,ColumnStreak,DiagMainStreak,DiagSecStreak,WinOrBlock,
,
Generation,Worst Individual Name,Worst Individual Fitness,Best Individual Name,Best Individual Fitness,Average Fitness,Best Individual Tree,
1,Lukairark,37.0,Reiairdink,234.29999999999998,141.96999999999997,([F: Plus](F: If >=(T: DiagSecStreak f)(T: WinOrBlock e)(T: DiagMainStreak f)(T: WinOrBlock f))(F: Plus(T: WinOrBlock e)(T: ColumnStreak f))),
2,Azakcclocre,56.4,Crocrclodin,258.9,158.97000000000003,([F: Plus](F: Plus(T: WinOrBlock f)(T: RowStreak e))(F: Plus(T: WinOrBlock e)(T: DiagMainStreak f))),
3,Creocrclodi,23.0,Crocrccloa,240.9,152.62,([F: Plus](F: Plus(T: WinOrBlock f)(T: ColumnStreak e))(F: Plus(T: WinOrBlock e)(T: DiagMainStreak f))),
4,Crumrrrczau,42.1,Crocrrcclo,252.5,138.9500000000001,([F: Plus](F: Plus(F: Plus(T: WinOrBlock f)(T: ColumnStreak e))(T: RowStreak e))(F: Plus(T: WinOrBlock e)(T: DiagMainStreak f))),
5,Crocrrrrclo,56.2,Crocrrrclod,216.0,140.5300000000001,([F: Plus](F: Plus(T: WinOrBlock f)(T: ColumnStreak e))(F: Plus(T: WinOrBlock e)(F: Plus(T: ColumnStreak e)(F: If >=(T: DiagSecStreak f)(T: WinOrBlock e)(T: DiagMainStreak f)(T: WinOrBlock f))))),
6,Crocrrrczau,32.0,Crocrrrrclo,233.70000000000002,140.52999999999997,([F: Plus](F: Plus(T: WinOrBlock f)(T: ColumnStreak e))(F: Plus(T: WinOrBlock e)(F: Plus(T: ColumnStreak e)(F: If >=(T: WinOrBlock f)(T: WinOrBlock e)(T: DiagMainStreak f)(T: WinOrBlock f))))),
7,Crocrrrrcza,28.6,Crocrrrrrcl,229.0,144.13999999999996,([F: Plus](F: Plus(T: WinOrBlock e)(T: DiagMainStreak f))(F: Plus(F: Plus(T: WinOrBlock e)(T: DiagSecStreak e))(F: If >=(T: ColumnStreak f)(T: WinOrBlock e)(T: ColumnStreak f)(T: ColumnStreak f)))),
8,Crocrrrrrrc,32.1,Crocrrrrcc,230.8,144.73000000000005,([F: Plus](F: Plus(T: WinOrBlock e)(T: DiagMainStreak f))(F: Plus(F: Plus(T: WinOrBlock e)(T: DiagSecStreak e))(F: If >=(T: ColumnStreak f)(T: WinOrBlock f)(T: ColumnStreak f)(T: ColumnStreak f)))),
9,Crocrrrrari,24.9,Crocrrrarim,216.4,144.13999999999996,([F: Plus](F: Plus(F: Plus(F: Plus(T: WinOrBlock e)(T: WinOrBlock e))(T: WinOrBlock e))(F: Plus(F: Plus(T: DiagSecStreak f)(T: RowStreak e))(T: ColumnStreak e)))(F: Plus(F: Plus(F: Plus(T: DiagSecStreak e)(T: ColumnStreak e))(F: Plus(T: DiagSecStreak e)(T: DiagMainStreak e)))(T: WinOrBlock f))),
10,Crocrrrrari,25.2,Crocrrrrari,244.79999999999998,139.21000000000015,([F: Plus](F: Plus(F: If >=(T: DiagSecStreak e)(T: DiagSecStreak f)(T: DiagMainStreak e)(T: WinOrBlock e))(F: Plus(F: Plus(F: If >=(T: ColumnStreak f)(T: RowStreak e)(T: RowStreak f)(T: DiagMainStreak e))(F: Plus(T: DiagSecStreak e)(T: ColumnStreak e)))(T: ColumnStreak e)))(F: Plus(T: WinOrBlock e)(T: WinOrBlock f))),
11,Crocrrrrrar,2.9000000000000004,Crocrrrrrrc,218.79999999999998,147.81000000000003,([F: Plus](F: Plus(F: If >=(T: DiagSecStreak e)(T: DiagSecStreak f)(T: DiagMainStreak e)(T: WinOrBlock e))(F: Plus(F: Plus(F: If >=(T: RowStreak f)(T: RowStreak e)(T: RowStreak f)(T: DiagMainStreak e))(F: Plus(T: DiagSecStreak e)(T: ColumnStreak e)))(T: ColumnStreak e)))(F: Plus(T: WinOrBlock e)(T: WinOrBlock f))),
12,Crocrrrrrar,41.800000000000004,Crocrrrrrrc,213.0,141.38999999999996,([F: Plus](F: Plus(F: If >=(T: RowStreak e)(T: DiagSecStreak f)(T: DiagMainStreak e)(T: WinOrBlock e))(F: Plus(F: Plus(F: If >=(T: ColumnStreak f)(T: RowStreak e)(T: RowStreak f)(T: DiagMainStreak e))(F: Plus(T: DiagSecStreak f)(T: ColumnStreak e)))(F: Plus(T: ColumnStreak f)(F: Plus(T: DiagSecStreak e)(T: ColumnStreak e)))))(F: Plus(T: WinOrBlock e)(T: WinOrBlock f))),
13,Crocrrrrrra,18.8,Crocrrrrrrr,215.20000000000002,139.40999999999997,([F: Plus](F: Plus(F: If >=(T: DiagSecStreak e)(T: ColumnStreak e)(T: DiagMainStreak e)(T: WinOrBlock e))(F: Plus(F: If >=(F: Plus(T: DiagMainStreak e)(T: WinOrBlock e))(F: If >=(T: RowStreak f)(T: DiagSecStreak f)(T: WinOrBlock e)(T: ColumnStreak f))(F: Plus(T: DiagSecStreak f)(T: WinOrBlock e))(F: If >=(T: DiagMainStreak f)(T: DiagMainStreak e)(T: RowStreak e)(T: ColumnStreak e)))(T: ColumnStreak e)))(F: Plus(T: WinOrBlock e)(T: WinOrBlock f))),
14,Crocrrrrrra,22.9,Crocrrrrrrr,204.9,144.96,([F: Plus](F: Plus(F: If >=(T: WinOrBlock e)(T: DiagSecStreak f)(T: DiagMainStreak e)(T: WinOrBlock e))(F: Plus(F: Plus(F: If >=(T: ColumnStreak f)(T: RowStreak e)(T: RowStreak f)(T: DiagMainStreak e))(F: Plus(T: DiagSecStreak e)(T: ColumnStreak e)))(F: Plus(F: If >=(T: DiagSecStreak e)(T: RowStreak e)(T: RowStreak f)(T: WinOrBlock e))(F: Plus(T: WinOrBlock f)(T: ColumnStreak e)))))(F: Plus(T: WinOrBlock e)(T: WinOrBlock f))),
15,Crocrrrrrrr,20.2,Crocrrrrrrr,202.9,151.13000000000005,([F: Plus](F: Plus(F: If >=(T: RowStreak e)(T: DiagSecStreak f)(T: DiagMainStreak e)(T: WinOrBlock e))(F: Plus(F: Plus(F: If >=(T: ColumnStreak f)(T: RowStreak e)(T: RowStreak f)(T: DiagMainStreak e))(F: Plus(T: DiagSecStreak e)(T: ColumnStreak e)))(F: Plus(F: If >=(T: ColumnStreak f)(T: RowStreak e)(T: RowStreak f)(T: WinOrBlock e))(F: Plus(T: WinOrBlock f)(T: ColumnStreak e)))))(F: Plus(T: WinOrBlock e)(T: WinOrBlock f))),
